category,title,script,translation
편의점,도시락 데우기,A:이 도시락 여기서 먹고 가도 되나요?|B:네 드실 수 있습니다 전자레인지 저쪽에 있어요.|A:감사합니다 그런데 이거 몇 분 데워야 해요?|B:뚜껑에 보시면 2분이라고 적혀 있습니다.|A:아 2분이군요 뚜껑은 덮고 돌리나요?|B:네 뚜껑 덮은 채로 돌리시면 됩니다.|A:다 돌렸는데 쓰레기는 어디에 버려요?|B:출입구 쪽에 보시면 분리수거함 있습니다.,Heating up a lunch box
편의점,비상약 구매,A:혹시 여기에 감기약도 파나요?|B:네 계산대 앞쪽에 상비약 코너가 있습니다.|A:종류가 많은데 어떤 게 감기약인가요?|B:판콜이라고 적힌 게 감기약입니다.|A:이거 지금 바로 사서 먹어도 되나요?|B:네 식후에 드시는 게 좋습니다.|A:가격은 얼마인가요?|B:3000원입니다 결제해 드릴게요.,Buying over-the-counter medicine
편의점,택배 보내기,A:안녕하세요 여기서 택배 보낼 수 있나요?|B:네 저기 기계에서 접수 먼저 해주세요.|A:박스 포장은 제가 직접 해야 하나요?|B:네 박스는 따로 판매하지 않으니 미리 포장해 오셔야 해요.|A:아 미리 포장을 다 해왔습니다.|B:그럼 기계에 송장 입력하고 스티커 붙여서 오세요.|A:접수 다 했는데 이제 결제하면 되나요?|B:네 무게 측정 됐으니 카드로 결제 도와드릴게요.,Sending a parcel
편의점,쓰레기봉투 구매,A:저기요 종량제 쓰레기봉투 있나요?|B:네 몇 리터짜리 찾으세요?|A:제일 작은 사이즈로 주세요.|B:10리터짜리가 제일 작습니다 드릴까요?|A:네 그걸로 5장만 주세요.|B:네 5장이면 1500원입니다.|A:혹시 음식물 쓰레기봉투도 파나요?|B:네 음식물 봉투는 노란색입니다 같이 드릴까요?,Buying garbage bags
편의점,기프티콘 결제,A:이걸로 결제하려고 하는데 가능한가요?|B:네 모바일 쿠폰 보여주세요.|A:여기 바코드 있습니다.|B:네 찍었습니다 다른 거 더 필요하신 건 없나요?|A:금액이 딱 맞나요 아니면 남았나요?|B:500원 남았는데 껌이라도 하나 더 고르시겠어요?|A:아 그럼 이 껌으로 가져갈게요.|B:네 추가 결제 없이 처리해 드렸습니다.,Paying with a mobile coupon
카페,매장 내 컵 사용,A:아이스 라떼 한 잔 주세요.|B:네 드시고 가시나요 아니면 포장이신가요?|A:매장에서 마시고 갈 거예요.|B:매장에서 드시면 일회용 컵 사용이 안 되는데 머그잔 괜찮으세요?|A:네 괜찮습니다 머그잔에 주세요.|B:휘핑크림 올려 드릴까요?|A:아니요 크림은 빼 주세요.|B:네 진동벨 울리면 픽업대로 와주세요.,Drinking in the store using a mug
카페,디카페인 변경,A:주문하시겠어요?|B:따뜻한 바닐라 라떼 하나 주세요.|A:네 원두는 어떤 걸로 하시겠어요?|B:혹시 디카페인으로 변경 가능한가요?|A:네 500원 추가되는데 괜찮으신가요?|B:네 저녁이라서 디카페인으로 할게요.|A:알겠습니다 디카페인 바닐라 라떼 준비해 드릴게요.|B:네 결제는 이 카드로 부탁드려요.,Changing to decaf coffee
카페,케이크 추천,A:디저트 종류가 많은데 추천해 주실 수 있나요?|B:저희 가게는 당근 케이크가 제일 유명합니다.|A:많이 달지 않은 걸로 먹고 싶어서요.|B:그럼 당근 케이크나 얼그레이 케이크가 좋습니다.|A:그럼 얼그레이 케이크로 하나 주세요.|B:네 포장이신가요 드시고 가시나요?|A:포장해 주세요 포크도 두 개 넣어주세요.|B:네 예쁘게 포장해서 바로 드리겠습니다.,Asking for cake recommendations
카페,화장실 위치 문의,A:저기요 화장실이 어디에 있나요?|B:나가셔서 오른쪽 건물 2층에 있습니다.|A:혹시 비밀번호가 따로 있나요?|B:네 비밀번호는 1234 별표입니다.|A:휴지는 안에 있나요 아니면 가져가야 하나요?|B:안에 비치되어 있으니 그냥 가셔도 됩니다.|A:네 감사합니다 문은 열려 있나요?|B:네 낮에는 항상 열려 있습니다.,Asking for restroom location
카페,쿠폰 도장 찍기,A:음료 두 잔 준비되었습니다.|B:감사합니다 혹시 쿠폰 적립 되나요?|A:네 도장 찍어 드릴까요 아니면 앱으로 하시나요?|B:종이 쿠폰 가지고 있어요 여기 찍어주세요.|A:네 두 개 찍어 드렸습니다.|B:이거 다 모으면 혜택이 뭔가요?|A:10개 다 모으시면 아메리카노 한 잔 무료입니다.|B:아 두 개 남았네요 다음에 꼭 써야겠어요.,Collecting coupon stamps
약국,마스크 구매,A:어서 오세요 찾으시는 약 있으세요?|B:미세먼지 차단되는 마스크 있나요?|A:네 KF94 마스크 여기 있습니다.|B:이건 한 장에 얼마인가요?|A:낱개로는 1000원이고 묶음은 좀 더 저렴합니다.|B:그럼 5개 묶음으로 주세요.|A:네 검은색이랑 흰색 중 어떤 걸로 드릴까요?|B:흰색으로 주세요 사이즈는 대형이죠?|A:네 성인 남성분이시면 대형 쓰시면 됩니다.,Buying masks
약국,숙취해소제 구입,A:약사님 머리가 너무 아픈데 약 좀 주세요.|B:어제 과음하셨나요?|A:네 회식이라서 좀 많이 마셨어요.|B:속은 괜찮으세요 구토 증상은 없나요?|A:속도 좀 울렁거려요 빨리 낫고 싶어요.|B:그럼 마시는 숙취해소제랑 알약 같이 드릴게요.|A:이거 지금 바로 먹으면 되나요?|B:네 지금 드시고 물 많이 드세요.|A:네 감사합니다 효과가 좋으면 좋겠네요.,Buying hangover cure
